campaign_id,impressions,clicks,conversions,spend,budget,quality_score,region,device,status
CMP_33,83834,4824,0,10790.97,2337,10,India,mobile,paused
CMP_34,72696,993,28,1754.26,448,7,Singapore,tablet,paused
CMP_35,67572,3901,61,3743.0,3743,1,UAE,tablet,paused
CMP_36,70155,444,49,1118.61,1787,8,UAE,mobile,paused
CMP_37,9472,524,0,851.73,334,7,India,mobile,paused
CMP_38,20482,1150,90,1851.74,4658,3,US,desktop,paused
CMP_39,40528,497,15,1024.49,4906,6,Singapore,tablet,active
CMP_40,55711,2735,242,6430.58,4939,10,Singapore,desktop,paused
CMP_41,56063,3014,280,6013.4,4018,10,Singapore,tablet,paused
CMP_42,45819,2259,44,6275.4,3410,6,Germany,desktop,active
CMP_43,9300,679,62,1482.34,1192,5,US,tablet,active
CMP_44,75024,4932,286,2616.55,776,4,UK,desktop,paused
CMP_45,82948,4564,159,12505.47,500,6,US,mobile,paused
CMP_46,23879,1794,117,2196.35,1548,4,Germany,desktop,active
CMP_47,14875,337,39,460.4,2444,5,India,tablet,active
CMP_48,9362,53,4,19.39,764,9,US,tablet,paused
CMP_49,3271,43,0,15.77,3689,6,UAE,desktop,active
CMP_50,63399,4521,274,10014.63,4201,1,Germany,mobile,paused
CMP_51,49901,1408,89,2322.9,3530,10,UAE,mobile,active
CMP_52,97836,2281,171,1304.43,1168,8,India,desktop,active
CMP_53,16733,50,6,472.53,879,1,UAE,desktop,active
CMP_54,7995,372,29,357.99,1814,4,India,desktop,active
CMP_55,87925,6198,109,1406.39,3926,3,US,mobile,active
CMP_56,1923,88,6,28.13,2828,6,UAE,mobile,active
CMP_57,75172,3750,212,2717.39,3084,6,UAE,tablet,active
CMP_58,81648,873,27,2547.47,4634,7,Germany,desktop,paused
CMP_59,31945,564,63,543.89,1345,5,US,mobile,paused
CMP_60,83251,4311,108,11277.35,4718,7,US,tablet,paused
CMP_61,75145,5162,343,7466.97,1725,2,India,desktop,active
CMP_62,26997,879,0,420.0,420,1,UAE,desktop,paused
CMP_63,90352,271,88,6036.59,2361,10,Singapore,tablet,active
CMP_64,21448,127,8,150.55,1602,6,India,tablet,paused
CMP_65,73013,1987,105,3573.87,1155,2,UAE,mobile,active
CMP_66,43599,3134,116,5955.21,4195,10,UK,desktop,active
CMP_67,1520,75,1,92.86,4083,5,UK,desktop,active
CMP_68,94939,7389,816,20924.46,3156,1,Singapore,mobile,active
CMP_69,70331,1631,162,1571.79,2186,3,US,tablet,active
CMP_70,65919,2121,80,4151.63,4605,7,UAE,mobile,paused
CMP_71,70914,4966,546,8091.78,2229,9,Singapore,tablet,paused
CMP_72,86544,5703,60,4738.0,4738,6,UAE,desktop,paused
CMP_73,39504,1057,24,1800.05,4246,7,Germany,mobile,paused
CMP_74,26730,492,39,302.18,272,5,Singapore,tablet,active
CMP_75,73395,1412,133,1631.33,996,5,Singapore,mobile,paused
CMP_76,92190,2306,55,6426.22,813,2,Germany,mobile,paused
CMP_77,39044,2853,68,7568.08,3561,2,Singapore,desktop,active
CMP_78,45780,1314,69,2309.84,3012,10,UK,desktop,paused
CMP_79,54086,1116,52,2718.67,4027,7,UK,mobile,active
CMP_80,27931,1993,190,5526.23,2547,6,Germany,desktop,paused
CMP_81,64267,4671,132,8388.07,2670,2,US,mobile,paused
CMP_82,58248,2439,165,6142.34,4076,4,India,tablet,paused
CMP_83,9036,188,6,2282.0,2282,3,India,tablet,paused
CMP_84,29267,1125,119,621.38,3262,4,Singapore,desktop,active
CMP_85,46377,1808,143,3665.93,4350,1,US,desktop,paused
CMP_86,35981,1309,144,2212.06,1115,7,Singapore,mobile,paused
CMP_87,49334,1790,79,2513.18,4241,7,UK,mobile,paused
CMP_88,60156,2504,153,5592.92,3071,6,UAE,desktop,paused
CMP_89,94071,7262,724,1540.58,4121,5,India,tablet,paused
CMP_90,30741,1614,70,4020.73,3763,3,India,tablet,active
CMP_91,67171,4472,459,10573.97,3664,1,UAE,desktop,paused
CMP_92,44031,424,44,413.08,1316,4,US,desktop,paused
CMP_93,38069,1092,119,924.58,4124,2,Germany,mobile,active
CMP_94,21933,1403,67,1751.25,2288,9,Germany,desktop,active
CMP_95,42133,3219,97,7189.65,3888,1,UK,mobile,active
CMP_96,59304,2860,306,6154.58,1989,2,US,tablet,paused
CMP_97,6599,433,26,1288.99,2779,5,US,tablet,active
CMP_98,82046,1106,91,3250.27,3276,7,Germany,mobile,active
CMP_99,67974,203,375,3106.45,4346,9,India,desktop,active
CMP_100,81332,4433,118,2736.16,3140,2,Singapore,desktop,active
CMP_101,13222,211,24,540.71,2307,2,UAE,tablet,active
CMP_102,41921,1031,82,1747.86,1786,5,Germany,desktop,paused
CMP_103,66495,881,72,1067.36,335,2,Germany,tablet,paused
CMP_104,37184,1594,107,4535.24,961,9,India,tablet,paused
CMP_105,11720,707,79,1731.83,2568,9,Germany,desktop,paused
CMP_106,71807,2446,104,2842.36,984,10,UK,tablet,paused
CMP_107,43071,1233,93,527.47,3579,2,UK,mobile,active
CMP_108,69539,2005,40,5878.58,3663,9,Singapore,tablet,active
CMP_109,51399,525,40,920.0,920,2,UK,desktop,active
CMP_110,72118,3910,127,9960.19,1457,3,Germany,mobile,active
CMP_111,72206,2583,106,5473.1,2405,3,India,desktop,paused
CMP_112,7167,527,34,990.58,3366,3,UK,tablet,paused
CMP_113,29702,935,9,1335.02,713,7,India,desktop,paused
CMP_114,8766,162,12,150.54,3750,3,UAE,mobile,active
CMP_115,48682,3461,225,9952.19,262,5,India,mobile,active
CMP_116,32888,931,20,1619.15,2107,2,Singapore,desktop,paused
CMP_117,35450,2586,40,2950.36,3519,7,Singapore,desktop,active
CMP_118,45520,1062,120,1229.81,3106,8,Singapore,tablet,active
CMP_119,9529,506,24,3950.0,3950,10,UAE,desktop,active
CMP_120,48080,1113,81,2994.67,4193,10,US,desktop,active
CMP_121,14497,481,22,188.09,3497,10,UK,tablet,active
CMP_122,65883,197,58,474.33,1864,4,UK,tablet,active
CMP_123,79980,5910,574,8074.78,2041,7,Singapore,mobile,active
CMP_124,60883,2472,293,3687.03,990,3,US,tablet,active
CMP_125,37707,2234,126,6699.17,3544,7,India,desktop,paused
CMP_126,43603,3280,313,7484.26,1448,10,UK,mobile,active
CMP_127,24190,1921,41,4881.53,1887,10,Germany,tablet,active
CMP_128,94904,5699,174,6807.5,2116,2,India,mobile,active
CMP_129,71929,3032,93,4840.39,2123,2,UAE,tablet,active
CMP_130,1929,86,4,49.04,3532,4,UAE,desktop,active
CMP_131,82728,2218,227,3708.33,960,6,US,mobile,active
CMP_132,79747,1271,130,3502.46,737,5,UAE,mobile,active
CMP_133,85692,595,34,1779.72,2187,2,UAE,desktop,active
CMP_134,45476,640,13,1333.26,3241,1,UAE,desktop,paused
CMP_135,43398,1661,16,2496.4,4693,7,Singapore,tablet,active
CMP_136,76371,6025,436,12554.01,1059,3,UK,desktop,paused
CMP_137,40992,2323,124,2747.58,3939,3,India,mobile,paused
CMP_138,92267,3953,121,3701.75,3136,3,UK,mobile,active
CMP_139,95265,4165,189,7093.44,699,4,UAE,tablet,active
CMP_140,24787,375,19,632.76,1239,10,US,tablet,paused
CMP_141,60309,2726,249,5487.66,1304,2,India,desktop,paused
CMP_142,74578,4528,486,12477.73,4196,5,US,desktop,active
CMP_143,73363,4425,412,2349.92,2949,6,UK,tablet,active
CMP_144,75078,1104,60,252.61,1180,4,UAE,tablet,paused
CMP_145,15269,193,2,426.39,3639,6,India,mobile,paused
CMP_146,60163,3303,77,3909.32,4617,7,UK,mobile,paused
CMP_147,54906,4132,430,5408.54,2992,8,UK,tablet,active
CMP_148,50601,1498,41,335.31,4552,5,India,mobile,active
CMP_149,85112,255,160,7419.65,2046,4,US,tablet,paused
CMP_150,53429,2797,56,7628.48,2957,1,Singapore,desktop,active
CMP_151,55068,605,46,1333.1,4864,7,US,desktop,paused
CMP_152,8029,55,1,41.32,2343,10,Singapore,tablet,active
CMP_153,86846,260,166,6042.74,1209,6,Germany,mobile,active
CMP_154,43705,1282,140,1059.46,4678,5,Singapore,desktop,active
CMP_155,4303,344,5,879.94,4623,7,India,tablet,paused
CMP_156,17512,434,30,507.62,1863,10,India,mobile,paused
CMP_157,31860,2314,137,3342.05,3734,8,India,mobile,active
CMP_158,93203,4826,518,4165.0,4165,5,India,desktop,paused
CMP_159,7687,541,54,1497.39,2282,4,US,mobile,active
CMP_160,65524,1296,35,3233.03,4898,4,Germany,mobile,active
CMP_161,22436,1143,107,2346.67,3069,7,India,desktop,paused
CMP_162,22953,68,69,3764.09,1229,4,Singapore,tablet,paused
CMP_163,10365,154,16,376.06,1881,2,UK,desktop,active
CMP_164,67589,700,7,2067.16,291,4,US,desktop,active
CMP_165,82559,5179,135,3527.5,4344,2,Singapore,mobile,active
CMP_166,78914,2048,209,909.93,1416,8,UAE,tablet,active
CMP_167,33467,2620,175,6018.77,1537,10,US,desktop,paused
CMP_168,70976,1248,95,2409.25,3627,8,Singapore,mobile,paused
CMP_169,1636,121,1,83.05,4465,6,Singapore,tablet,paused
CMP_170,90189,3941,239,7910.39,593,6,India,mobile,active
CMP_171,56221,3431,383,1806.0,1806,3,UK,mobile,active
CMP_172,51602,3440,377,6510.95,991,3,Germany,desktop,active
CMP_173,30066,1185,37,3290.0,3290,10,US,mobile,paused
CMP_174,7927,105,4,2589.0,2589,7,Singapore,tablet,active
CMP_175,60428,181,57,2777.54,1257,8,US,tablet,active
CMP_176,34957,577,67,1283.32,2595,7,UAE,tablet,active
CMP_177,55460,2580,281,4480.26,3485,9,UAE,desktop,paused
CMP_178,73590,4684,511,9480.8,273,2,UK,tablet,active
CMP_179,43118,2169,42,2620.06,4201,8,Germany,tablet,paused
CMP_180,39898,1787,33,4005.52,1414,7,UAE,desktop,paused
CMP_181,89228,2329,258,6609.71,432,8,Germany,mobile,paused
CMP_182,27964,1628,120,4165.86,1698,10,India,desktop,paused
CMP_183,56892,382,25,540.18,1469,6,US,mobile,active
CMP_184,31496,685,0,859.34,2098,10,UAE,mobile,active
CMP_185,90823,1960,32,4636.36,3537,5,India,desktop,active
CMP_186,88643,3334,338,9719.96,1252,10,India,mobile,active
CMP_187,45346,3358,145,8495.22,1874,9,UAE,desktop,paused
CMP_188,93637,5432,130,3090.9,3743,8,US,mobile,paused
CMP_189,46768,1876,215,3626.51,1169,8,Germany,tablet,paused
CMP_190,5582,405,5,1901.0,1901,3,US,desktop,active
CMP_191,65964,3983,172,6519.04,4725,9,UAE,desktop,paused
CMP_192,81407,1712,0,2604.14,4026,4,UAE,mobile,active
CMP_193,87968,5460,232,15674.52,3802,7,Singapore,tablet,paused
CMP_194,14670,567,54,1557.35,3712,4,Singapore,desktop,paused
CMP_195,79183,2834,53,7949.36,827,9,US,mobile,paused
CMP_196,96127,6655,497,1733.69,691,10,UAE,tablet,paused
CMP_197,93753,3514,304,9373.68,604,3,India,tablet,active
CMP_198,62063,2306,113,1217.11,2440,7,Singapore,tablet,active
CMP_199,49073,1988,49,5954.31,4219,1,US,desktop,paused
CMP_200,69547,4632,374,3213.58,3103,8,US,desktop,paused
CMP_201,18110,504,38,1318.83,3413,2,India,desktop,paused
CMP_202,49753,2816,199,4609.84,4637,3,India,mobile,active
CMP_203,78405,2661,107,5695.55,2078,3,UAE,tablet,paused
CMP_204,78150,3586,78,5497.39,396,4,India,desktop,paused
CMP_205,68123,4189,395,3852.17,2657,9,Singapore,desktop,paused
CMP_206,27254,222,10,530.86,3238,1,UK,mobile,paused
CMP_207,83816,2721,160,4594.66,662,9,Singapore,tablet,paused
CMP_208,72544,3893,151,3904.0,3992,9,US,desktop,paused
CMP_209,88521,5199,221,4220.37,4596,10,India,tablet,paused
CMP_210,66701,4422,258,4316.76,3988,7,UK,tablet,paused
CMP_211,50179,638,9,4389.0,4389,4,Singapore,mobile,paused
CMP_212,30042,461,28,1114.22,2009,1,Germany,desktop,active
CMP_213,71597,3181,117,9068.6,1307,6,Germany,desktop,paused
CMP_214,75720,5355,310,4800.58,1187,2,India,tablet,active
CMP_215,8073,358,38,1037.36,1034,1,India,mobile,paused
CMP_216,72972,4202,264,5914.53,691,5,India,desktop,paused
CMP_217,84217,3889,99,8761.0,4795,3,UAE,tablet,active
CMP_218,73335,1663,94,1925.44,1247,4,Germany,tablet,paused
CMP_219,6019,258,21,337.65,4040,6,US,desktop,active
CMP_220,73351,971,27,862.34,2229,8,Singapore,mobile,paused
CMP_221,62571,2895,234,3915.96,4577,3,UAE,desktop,active
CMP_222,59052,415,47,960.63,2663,7,Singapore,tablet,paused
CMP_223,29756,1432,122,3221.9,2953,3,Singapore,desktop,active
CMP_224,12016,309,32,523.54,1543,4,Germany,mobile,paused
CMP_225,18065,1232,98,2287.73,2025,7,US,tablet,paused
CMP_226,58225,2779,153,2353.86,4604,6,UAE,mobile,active
CMP_227,8078,124,7,364.84,200,2,UAE,desktop,paused
CMP_228,60639,2562,182,2676.0,1258,8,India,desktop,paused
CMP_229,25537,1145,94,243.78,3938,4,UK,tablet,active
CMP_230,64020,4189,0,10337.88,1211,1,UAE,desktop,paused
CMP_231,97435,3847,0,6759.2,3730,1,Singapore,mobile,active
CMP_232,54909,1565,133,3687.9,3936,6,UK,mobile,active
CMP_233,40229,1831,158,4870.58,3270,7,Singapore,mobile,paused
CMP_234,42327,1926,212,5698.87,3598,6,UK,desktop,active
CMP_235,4878,320,13,181.47,4396,3,UK,desktop,paused
CMP_236,30197,1773,156,3227.22,1280,2,Germany,tablet,active
CMP_237,55759,632,66,1401.07,218,10,UK,mobile,paused
CMP_238,42644,2778,183,3850.74,1834,4,Germany,mobile,active
CMP_239,4625,216,0,343.48,1214,1,Germany,tablet,active
CMP_240,48316,2805,216,3193.95,2963,6,US,desktop,paused
CMP_241,7034,203,11,607.73,250,7,UK,tablet,paused
CMP_242,72398,217,176,4796.27,229,9,UK,mobile,active
CMP_243,25681,1350,100,2063.51,4846,4,UAE,tablet,active
CMP_244,81271,1826,84,381.63,3890,1,Germany,desktop,paused
CMP_245,65007,4067,191,9316.36,1262,4,US,tablet,active
CMP_246,90368,4125,0,854.99,993,1,India,tablet,paused
CMP_247,29017,393,6,856.84,2004,8,UAE,desktop,paused
CMP_248,89147,5410,139,8459.26,2898,5,Singapore,tablet,paused
CMP_249,64601,1248,104,1624.86,4383,2,Germany,mobile,active
CMP_250,20634,281,10,151.09,3280,4,UK,mobile,paused
CMP_251,61259,3349,301,7211.24,4382,10,US,mobile,paused
CMP_252,83927,4895,228,14162.25,3174,1,UAE,desktop,paused
CMP_253,66613,3309,363,817.7,3493,5,India,desktop,paused
CMP_254,95273,2227,177,6101.52,2701,1,UAE,tablet,paused
CMP_255,35855,626,24,1264.16,239,2,UK,desktop,active
CMP_256,18502,843,50,504.8,2243,7,Germany,mobile,paused
CMP_257,87791,6973,610,16117.77,1190,1,Singapore,desktop,active
CMP_258,34241,822,39,2395.95,4575,6,UAE,desktop,active
CMP_259,88334,5883,315,5730.39,2508,10,UK,desktop,paused
CMP_260,64505,4460,245,11624.82,422,4,Germany,mobile,active
CMP_261,66241,1092,57,3211.15,1046,9,India,mobile,paused
CMP_262,61091,4789,548,3012.0,4004,4,Singapore,tablet,paused
CMP_263,77900,2719,141,8006.76,311,2,UK,mobile,active
CMP_264,6325,437,42,94.08,1724,8,UAE,desktop,active
CMP_265,90177,3205,222,809.15,4867,4,UAE,desktop,paused
CMP_266,2719,158,13,244.69,4585,10,Germany,mobile,active
CMP_267,52776,412,22,1121.24,1537,1,Germany,mobile,active
CMP_268,65098,3320,0,3726.12,1788,1,India,desktop,active
CMP_269,2300,80,2,228.22,1458,5,Singapore,tablet,active
CMP_270,5008,218,21,320.5,2921,1,US,desktop,active
CMP_271,65580,2281,112,3069.34,3728,9,Singapore,tablet,paused
CMP_272,9063,27,20,551.63,3413,6,US,tablet,paused
CMP_273,26591,1184,54,2948.66,3535,6,Germany,mobile,active
CMP_274,21331,1304,69,3167.12,1055,8,Singapore,tablet,paused
CMP_275,70632,1350,95,3926.46,2997,6,UAE,mobile,active
CMP_276,78109,6227,434,9982.32,3065,8,US,tablet,paused
CMP_277,75922,730,40,1830.61,3872,5,US,mobile,paused
CMP_278,2764,187,18,318.49,407,4,UAE,mobile,active
CMP_279,92729,2831,190,2135.95,3450,7,UK,desktop,active
CMP_280,6852,477,35,1062.33,3429,8,UK,mobile,paused
CMP_281,76999,230,0,12676.21,2994,4,UK,desktop,active
CMP_282,67251,1803,157,594.19,975,9,Germany,mobile,paused
CMP_283,53074,3768,143,1286.53,2610,9,UK,tablet,paused
CMP_284,46118,2639,315,5726.56,2362,10,US,mobile,active
CMP_285,97172,1929,89,1122.11,3400,4,India,tablet,active
CMP_286,14478,828,86,1049.35,1617,8,US,desktop,paused
CMP_287,32630,1341,53,3211.12,1481,5,Germany,desktop,active
CMP_288,21276,302,0,588.25,3721,10,Germany,desktop,paused
CMP_289,57330,4164,420,9073.12,3854,5,UAE,tablet,paused
CMP_290,94995,284,230,2768.31,4500,8,UAE,desktop,paused
CMP_291,23337,742,53,1208.94,2564,4,UK,desktop,paused
CMP_292,39856,119,321,3941.01,3586,1,India,mobile,paused
CMP_293,4187,136,2,170.46,2726,6,Germany,desktop,paused
CMP_294,33941,1344,64,2400.03,3960,2,UAE,desktop,paused
CMP_295,43489,3047,180,1327.04,2265,3,UAE,tablet,paused
CMP_296,59729,2931,340,5690.94,4286,10,Singapore,tablet,paused
CMP_297,52372,3587,42,6529.93,4530,7,Singapore,tablet,active
CMP_298,85325,255,35,2988.69,219,1,UK,desktop,active
CMP_299,75958,5708,359,9648.82,3528,3,UAE,mobile,active
CMP_300,12003,902,74,666.67,1661,9,Singapore,tablet,active
CMP_301,89696,2433,85,6192.87,2122,10,Singapore,desktop,paused
CMP_302,61928,3125,286,6783.38,1724,1,Germany,tablet,active
CMP_303,30019,1213,104,2386.8,4380,8,UAE,tablet,active
CMP_304,73727,5071,277,6101.5,2360,5,UAE,desktop,paused
CMP_305,32914,1785,174,1168.98,811,6,UAE,mobile,active
CMP_306,14310,327,0,943.81,4000,10,UAE,desktop,paused
CMP_307,99917,2056,194,5807.34,1174,10,UAE,desktop,paused
CMP_308,26702,1134,67,902.96,814,1,UK,desktop,active
CMP_309,7996,300,24,769.9,731,10,India,tablet,active
CMP_310,67678,203,14,537.56,1581,3,UK,desktop,paused
CMP_311,4854,297,5,280.73,4169,4,US,mobile,active
CMP_312,58435,619,74,1188.51,1308,9,UK,mobile,active
CMP_313,12717,168,8,227.09,2853,10,Germany,desktop,paused
CMP_314,24942,924,92,871.17,2697,6,UK,mobile,active
CMP_315,34381,2562,28,880.38,1329,1,Germany,tablet,active
CMP_316,97225,4222,102,11512.31,4094,5,India,mobile,active
CMP_317,40801,2603,171,4518.92,2740,6,US,desktop,active
CMP_318,74519,2859,251,7788.37,4688,2,Germany,mobile,active
CMP_319,43846,257,9,425.58,1342,5,UK,mobile,active
CMP_320,52115,717,66,551.01,698,3,UK,desktop,paused
CMP_321,52001,430,47,1107.51,3198,8,US,mobile,paused
CMP_322,32936,179,6,140.15,512,10,UAE,tablet,active
CMP_323,83596,1378,79,1608.18,423,4,Germany,mobile,paused
CMP_324,29988,1900,225,4133.09,513,6,India,mobile,active
CMP_325,78455,4690,528,13553.07,912,7,Singapore,tablet,paused
CMP_326,9581,170,17,393.69,4139,4,UK,tablet,active
CMP_327,43002,2485,46,5223.15,3209,4,UAE,mobile,paused
CMP_328,13235,883,50,694.86,4560,8,Germany,tablet,paused
CMP_329,37239,2851,253,6635.42,1600,1,UK,mobile,paused
CMP_330,2963,108,4,293.04,4631,3,Singapore,tablet,active
CMP_331,41152,3138,272,752.49,2650,9,UK,mobile,active
CMP_332,91659,4424,452,3852.0,3852,10,Germany,mobile,paused
CMP_333,27563,1503,110,877.46,2134,9,UK,desktop,active
CMP_334,49149,1142,134,1803.94,3738,8,UK,desktop,active
CMP_335,47090,346,40,1004.9,264,1,UK,mobile,active
CMP_336,52407,1642,77,1273.21,4330,1,India,tablet,active
CMP_337,79670,3254,329,8085.57,3182,1,UK,mobile,active
CMP_338,54236,2856,226,1953.32,4158,4,Singapore,mobile,paused
CMP_339,22531,1175,85,1630.59,4456,2,UK,mobile,active
CMP_340,75343,1453,19,2320.85,878,3,US,tablet,active
CMP_341,40214,2151,63,1144.71,2492,3,Germany,tablet,paused
CMP_342,34678,1364,78,1209.23,4515,1,India,mobile,active
CMP_343,39268,1582,117,1807.24,4330,6,Germany,mobile,active
CMP_344,59317,3675,72,7377.43,3242,4,Singapore,tablet,active
CMP_345,62124,372,36,658.9,587,3,US,mobile,active
CMP_346,72877,3492,255,7940.37,4996,8,Singapore,tablet,active
CMP_347,26129,1064,75,1564.7,4370,7,India,desktop,paused
CMP_348,60411,2473,242,6563.38,3081,8,India,mobile,paused
CMP_349,60638,2564,258,4596.76,4575,5,Singapore,desktop,active
CMP_350,1877,140,6,271.83,4613,9,Germany,desktop,paused
CMP_351,25725,611,60,187.78,4198,5,Germany,desktop,active
CMP_352,62219,3995,380,928.34,4423,1,India,tablet,paused
CMP_353,10956,687,21,988.47,4677,1,Germany,desktop,active
CMP_354,75739,2446,203,2606.28,3837,1,Germany,desktop,paused
CMP_355,21666,277,15,716.45,3948,5,UK,tablet,paused
CMP_356,98537,5398,57,2778.16,206,9,UK,desktop,paused
CMP_357,85443,5442,112,3031.58,425,6,Singapore,desktop,paused
CMP_358,8877,581,50,199.69,451,8,UAE,tablet,paused
CMP_359,38900,287,9,102.21,1403,10,UK,desktop,paused
CMP_360,12640,71,2,153.3,3702,7,Singapore,tablet,paused
CMP_361,73993,5464,418,4793.9,2629,3,UAE,desktop,paused
CMP_362,12344,373,19,252.81,484,6,UK,mobile,paused
CMP_363,79283,3146,194,741.27,3630,3,India,desktop,active
CMP_364,25340,1398,42,3361.3,2318,9,US,mobile,active
CMP_365,83746,687,61,1162.01,1278,5,UK,tablet,active
CMP_366,13232,608,12,1248.2,629,10,UK,mobile,paused
CMP_367,68649,4246,212,6723.04,3687,4,Singapore,tablet,active
CMP_368,20114,60,69,258.6,3021,8,Germany,desktop,paused
CMP_369,24684,893,23,240.01,1649,7,Germany,desktop,paused
CMP_370,83513,2337,80,6117.8,1204,1,US,mobile,paused
CMP_371,39418,2261,261,5339.18,3696,2,UK,mobile,active
CMP_372,7525,319,26,619.19,2535,9,India,tablet,paused
CMP_373,44646,133,26,2457.37,3064,1,Germany,tablet,active
CMP_374,89708,2717,277,3648.21,4838,7,Singapore,desktop,paused
CMP_375,9105,171,5,50.47,4555,5,UAE,tablet,paused
CMP_376,25453,135,4,44.04,221,5,US,desktop,paused
CMP_377,68113,2909,238,882.18,351,1,UAE,desktop,active
CMP_378,76140,2835,301,7943.35,1324,7,India,tablet,paused
CMP_379,59913,1496,124,546.28,3307,7,Germany,desktop,paused
CMP_380,59025,3136,81,6645.19,1010,4,Germany,tablet,paused
CMP_381,26979,266,21,416.15,2408,3,Germany,mobile,paused
CMP_382,2089,99,9,205.21,1654,3,UAE,mobile,paused
CMP_383,83960,1278,19,3259.24,2837,2,Singapore,desktop,active
CMP_384,1145,15,0,9.46,3547,8,Singapore,tablet,paused
CMP_385,75172,5560,598,5408.43,844,6,US,tablet,active
CMP_386,19268,294,15,428.0,428,4,UK,mobile,paused
CMP_387,65674,1403,82,2189.0,4962,3,Singapore,tablet,active
CMP_388,25981,1552,171,976.74,211,8,Germany,mobile,active
CMP_389,59929,179,275,7285.08,2380,6,Singapore,tablet,active
CMP_390,66355,894,105,302.94,3535,9,Germany,mobile,paused
CMP_391,58384,4624,297,10858.17,1736,9,India,mobile,paused
CMP_392,74214,5666,420,2976.96,922,3,India,desktop,paused
CMP_393,3279,205,0,245.57,1303,7,India,desktop,paused
CMP_394,99555,298,35,1068.33,721,1,Singapore,mobile,active
CMP_395,6161,342,34,961.1,1373,5,Germany,tablet,paused
CMP_396,41186,2757,293,3132.96,4649,2,UAE,desktop,paused
CMP_397,5639,207,10,354.92,4031,3,UK,desktop,paused
CMP_398,1419,76,7,158.28,3556,2,Germany,mobile,paused
CMP_399,25999,560,16,1580.12,4485,2,India,tablet,paused
CMP_400,7548,254,28,349.2,3133,9,Germany,desktop,active
CMP_401,5320,93,2,154.01,2489,10,UK,mobile,paused
CMP_402,94291,7152,399,1502.75,322,5,Germany,mobile,paused
CMP_403,63207,189,223,6417.72,415,3,India,tablet,paused
CMP_404,62984,2799,164,912.16,743,9,Germany,desktop,active
CMP_405,94833,6456,139,12122.84,1110,8,UAE,desktop,paused
CMP_406,28283,1670,74,1752.87,4519,2,Germany,desktop,active
CMP_407,90962,5035,52,2626.98,3591,4,UAE,tablet,active
CMP_408,28861,1760,181,901.52,4262,2,US,mobile,active
CMP_409,60144,1657,187,563.11,3901,5,Germany,mobile,active
CMP_410,28633,1286,154,3323.98,1776,4,India,desktop,active
CMP_411,24662,813,54,2309.0,2277,10,Singapore,desktop,active
CMP_412,71224,2082,238,882.22,4115,5,US,desktop,active
CMP_413,47425,142,288,6867.59,3062,1,US,mobile,paused
CMP_414,78359,5561,429,13158.91,3207,5,US,mobile,active
CMP_415,21645,1532,142,3771.38,1296,2,India,tablet,paused
CMP_416,28678,1234,23,409.02,2666,3,Singapore,mobile,active
CMP_417,86428,259,333,3197.44,1951,2,Singapore,tablet,active
CMP_418,26574,1162,14,754.1,1926,9,Singapore,tablet,paused
CMP_419,10303,379,43,879.08,3820,1,UAE,tablet,paused
CMP_420,41500,1540,36,3577.33,799,1,India,desktop,active
CMP_421,27915,1823,56,4628.64,2468,8,US,tablet,paused
